Categories	productcode	productname	description	description2	AssortedMarketPrice	CatalogItemMarketPrice	CatalogPiece	IsCatalog	IsAssorted	Images	Color	Fabric	Occasion	Quantity	MetaTitle	MetaKeywords	MetaDescription
"New Arrivals, Sarees, Sarees By Occasion, Party Wear Sarees"	149RKNK176001	Wedding Wear Art Silk Fabric Weaving Work Saree In Peach Color	Wedding Wear Art Silk Fabric Weaving Work Saree In Peach Color	Wedding Wear Art Silk Fabric Weaving Work Saree In Peach Color	32976	12000	6	Y	N	SB49_RKNK176001_176005.jpg	"Grey, Pink, Beige, Yellow, Peach, Sea Green"	Art Silk	Party	10	Wedding Wear Art Silk Fabric Weaving Work Saree In Peach Color	Wedding Wear Art Silk Fabric Weaving Work Saree In Peach Color	Wedding Wear Art Silk Fabric Weaving Work Saree In Peach Color
"New Arrivals, Sarees, Sarees By Occasion, Party Wear Sarees"	149RKNK176001176001	Art Silk Function Wear Grey Color Weaving Work Saree	Art Silk Function Wear Grey Color Weaving Work Saree	Art Silk Function Wear Grey Color Weaving Work Saree	5496	2000	1	N	Y	SB49_RKNK176001_176001.jpg	Grey	Art Silk	Party	10	Art Silk Function Wear Grey Color Weaving Work Saree	Art Silk Function Wear Grey Color Weaving Work Saree	Art Silk Function Wear Grey Color Weaving Work Saree
"New Arrivals, Sarees, Sarees By Occasion, Party Wear Sarees"	149RKNK176001176002	Pink Color Festive Wear Art Silk Fabric Weaving Work Saree	Pink Color Festive Wear Art Silk Fabric Weaving Work Saree	Pink Color Festive Wear Art Silk Fabric Weaving Work Saree	5496	2000	1	N	Y	SB49_RKNK176001_176002.jpg	Pink	Art Silk	Party	10	Pink Color Festive Wear Art Silk Fabric Weaving Work Saree	Pink Color Festive Wear Art Silk Fabric Weaving Work Saree	Pink Color Festive Wear Art Silk Fabric Weaving Work Saree
"New Arrivals, Sarees, Sarees By Occasion, Party Wear Sarees"	149RKNK176001176003	Art Silk Fabric Party Wear Beige Color Weaving Work Saree	Art Silk Fabric Party Wear Beige Color Weaving Work Saree	Art Silk Fabric Party Wear Beige Color Weaving Work Saree	5496	2000	1	N	Y	SB49_RKNK176001_176003.jpg	Beige	Art Silk	Party	10	Art Silk Fabric Party Wear Beige Color Weaving Work Saree	Art Silk Fabric Party Wear Beige Color Weaving Work Saree	Art Silk Fabric Party Wear Beige Color Weaving Work Saree
"New Arrivals, Sarees, Sarees By Occasion, Party Wear Sarees"	149RKNK176001176004	Sangeet Wear Yellow Color Art Silk Fabric Weaving Work Saree	Sangeet Wear Yellow Color Art Silk Fabric Weaving Work Saree	Sangeet Wear Yellow Color Art Silk Fabric Weaving Work Saree	5496	2000	1	N	Y	SB49_RKNK176001_176004.jpg	Yellow	Art Silk	Party	10	Sangeet Wear Yellow Color Art Silk Fabric Weaving Work Saree	Sangeet Wear Yellow Color Art Silk Fabric Weaving Work Saree	Sangeet Wear Yellow Color Art Silk Fabric Weaving Work Saree
"New Arrivals, Sarees, Sarees By Occasion, Party Wear Sarees"	149RKNK176001176005	Wedding Wear Art Silk Weaving Work Peach Color Saree	Wedding Wear Art Silk Weaving Work Peach Color Saree	Wedding Wear Art Silk Weaving Work Peach Color Saree	5496	2000	1	N	Y	SB49_RKNK176001_176005.jpg	Peach	Art Silk	Party	10	Wedding Wear Art Silk Weaving Work Peach Color Saree	Wedding Wear Art Silk Weaving Work Peach Color Saree	Wedding Wear Art Silk Weaving Work Peach Color Saree
"New Arrivals, Sarees, Sarees By Occasion, Party Wear Sarees"	149RKNK176001176006	Sea Green Color Reception Wear Art Silk Fabric Weaving Work Saree	Sea Green Color Reception Wear Art Silk Fabric Weaving Work Saree	Sea Green Color Reception Wear Art Silk Fabric Weaving Work Saree	5496	2000	1	N	Y	SB49_RKNK176001_176006.jpg	Sea Green	Art Silk	Party	10	Sea Green Color Reception Wear Art Silk Fabric Weaving Work Saree	Sea Green Color Reception Wear Art Silk Fabric Weaving Work Saree	Sea Green Color Reception Wear Art Silk Fabric Weaving Work Saree
																	
"New Arrivals, Sarees, Sarees By Fabric, Silk Saree"	149RKNK182001	Art Silk Fabric Sangeet Wear Designer Saree	Art Silk Fabric Sangeet Wear Designer Saree	Art Silk Fabric Sangeet Wear Designer Saree	38532	38532	6	Y	N	SB49_RKNK182001_182005.jpg	"Navy Blue, Rani, Pink, Green, Peach, Red"	Art Silk	Wedding	10	Art Silk Fabric Sangeet Wear Designer Saree	Art Silk Fabric Sangeet Wear Designer Saree	Art Silk Fabric Sangeet Wear Designer Saree
"New Arrivals, Sarees, Sarees By Fabric, Silk Saree"	149RKNK182001182001	Fancy Art Silk Fabric Function Wear Navy Blue Color Saree	Fancy Art Silk Fabric Function Wear Navy Blue Color Saree	Fancy Art Silk Fabric Function Wear Navy Blue Color Saree	6422	6422	1	N	Y	SB49_RKNK182001_182001.jpg	Navy Blue	Art Silk	Wedding	10	Fancy Art Silk Fabric Function Wear Navy Blue Color Saree	Fancy Art Silk Fabric Function Wear Navy Blue Color Saree	Fancy Art Silk Fabric Function Wear Navy Blue Color Saree
